continentName,ghgYear,co2concentration
Southern Europe                                   ,2014Q2,         2173.36
Southern Europe                                   ,2014Q3,         2182.72
Southern Europe                                   ,2014Q4,         2211.02
Southern Europe                                   ,2015Q1,         2184.84
Southern Europe                                   ,2015Q2,         2082.95
Southern Europe                                   ,2015Q3,         2139.02
Southern Europe                                   ,2015Q4,         2195.19
Southern Europe                                   ,2016Q1,         2162.36
Southern Europe                                   ,2016Q2,         2032.95
Southern Europe                                   ,2016Q3,         2059.61
Southern Europe                                   ,2016Q4,         2222.33
Southern Europe                                   ,2017Q1,         2227.32
Southern Europe                                   ,2017Q2,         2105.63
Southern Europe                                   ,2017Q3,         2099.91
Southern Europe                                   ,2017Q4,         2254.96
Latin America and the Caribbean                   ,2020Q1,         6990.27
Latin America and the Caribbean                   ,2020Q2,         6520.29
Latin America and the Caribbean                   ,2020Q3,         6888.64
Latin America and the Caribbean                   ,2020Q4,         6721.59
Latin America and the Caribbean                   ,2021Q1,         7069.87
Latin America and the Caribbean                   ,2021Q2,         7275.16
Latin America and the Caribbean                   ,2021Q3,         7201.59
Latin America and the Caribbean                   ,2021Q4,         6940.74
Latin America and the Caribbean                   ,2022Q1,         7231.58
Latin America and the Caribbean                   ,2022Q2,         7495.85
Latin America and the Caribbean                   ,2022Q3,         7347.51
Latin America and the Caribbean                   ,2022Q4,          6876.7
Latin America and the Caribbean                   ,2023Q1,         7631.77
Latin America and the Caribbean                   ,2023Q2,         7790.38
Northern Africa                                   ,2010Q1,         1848.19
Northern Africa                                   ,2010Q2,         1790.61
Northern Africa                                   ,2010Q3,         1774.38
Northern Africa                                   ,2010Q4,          1795.9
Northern Africa                                   ,2011Q1,         1734.26
Northern Africa                                   ,2011Q2,         1724.92
Northern Africa                                   ,2011Q3,         1712.83
Northern Africa                                   ,2011Q4,         1814.05
Northern Africa                                   ,2012Q1,         1905.42
Northern Africa                                   ,2012Q2,         1890.45
Northern Africa                                   ,2012Q3,         1830.97
Northern Africa                                   ,2012Q4,         1972.62
Northern Africa                                   ,2013Q1,         1975.05
Northern Africa                                   ,2013Q2,          1929.4
Northern Africa                                   ,2013Q3,         1761.61
Northern Africa                                   ,2013Q4,         1851.01
Northern Africa                                   ,2014Q1,         1931.28
Northern Africa                                   ,2014Q2,         1845.23
Northern Africa                                   ,2014Q3,         1917.15
Northern Africa                                   ,2014Q4,         1942.78
Northern Africa                                   ,2015Q1,         1957.76
Northern Africa                                   ,2015Q2,         1928.13
Northern Africa                                   ,2015Q3,         1873.59
Northern Africa                                   ,2015Q4,          1976.1
Northern Africa                                   ,2016Q1,         1961.24
Northern Africa                                   ,2016Q2,         1938.28
Northern Africa                                   ,2016Q3,         1963.13
Northern Africa                                   ,2016Q4,         2003.24
Northern Africa                                   ,2017Q1,         2084.44
Northern Africa                                   ,2017Q2,         1990.18
Northern Africa                                   ,2017Q3,         2003.91
Northern Africa                                   ,2017Q4,         2127.61
Northern Africa                                   ,2018Q1,         2174.47
Northern Africa                                   ,2018Q2,          2058.8
Northern Africa                                   ,2018Q3,         2011.29
Northern Africa                                   ,2018Q4,         2176.22
Northern Africa                                   ,2019Q1,         2124.16
Northern Africa                                   ,2019Q2,         2056.33
Northern Africa                                   ,2019Q3,         2007.13
Northern Africa                                   ,2019Q4,         2040.53
Northern Africa                                   ,2020Q1,         2016.87
Northern Africa                                   ,2020Q2,         1822.85
Northern Africa                                   ,2020Q3,         1919.23
Northern Africa                                   ,2020Q4,          2026.1
Northern Africa                                   ,2021Q1,         2162.22
Northern Africa                                   ,2021Q2,         2118.24
Northern Africa                                   ,2021Q3,         2095.46
Northern Africa                                   ,2021Q4,         2172.59
Northern Africa                                   ,2022Q1,          2292.5
